S.No,Date,Day,Month,College,Meal_Type,College_Capacity,Students_Expected,Students_Came,Food_Prepared_kg,Food_Consumed_kg,Cost_Per_kg,Total_Cost,Student_Rating
83,06-03-2024,Thursday,March,SIBM,Lunch,520,442,520,205,198,177,36285,7.8
84,06-03-2024,Thursday,March,SIBM,Dinner,520,390,434,184,142,158,29072,6.6
85,06-03-2024,Thursday,March,SIMC,Breakfast,320,224,252,107,81,114,12198,6.2
86,06-03-2024,Thursday,March,SIMC,Lunch,320,272,324,121,101,178,21538,6.5
87,06-03-2024,Thursday,March,SIMC,Dinner,320,240,280,117,87,162,18954,5.9
88,06-03-2024,Thursday,March,SSSS,Breakfast,280,196,192,89,63,113,10057,5.2
89,06-03-2024,Thursday,March,SSSS,Lunch,280,238,243,102,87,170,17340,6.6
90,06-03-2024,Thursday,March,SSSS,Dinner,280,210,196,90,76,150,13500,7
91,07-03-2024,Friday,March,SIDTM,Breakfast,450,315,322,148,129,127,18796,7.4
92,07-03-2024,Friday,March,SIDTM,Lunch,450,383,432,159,142,170,27030,7.1
93,07-03-2024,Friday,March,SIDTM,Dinner,450,338,298,161,112,160,25760,5.1
94,07-03-2024,Friday,March,SSBF,Breakfast,380,266,284,112,100,126,14112,7.2
95,07-03-2024,Friday,March,SSBF,Lunch,380,323,327,140,124,172,24080,7.8
96,07-03-2024,Friday,March,SSBF,Dinner,380,285,317,126,111,163,20538,7.1
97,07-03-2024,Friday,March,SIBM,Breakfast,520,364,358,153,109,118,18054,5.6
98,07-03-2024,Friday,March,SIBM,Lunch,520,442,478,197,149,182,35854,5.7
99,07-03-2024,Friday,March,SIBM,Dinner,520,390,451,158,158,161,25438,8.7
100,07-03-2024,Friday,March,SIMC,Breakfast,320,224,184,93,64,121,11253,5.8
101,07-03-2024,Friday,March,SIMC,Lunch,320,272,277,122,108,173,21106,7.2
102,07-03-2024,Friday,March,SIMC,Dinner,320,240,248,110,76,153,16830,5.1
103,07-03-2024,Friday,March,SSSS,Breakfast,280,196,217,94,66,127,11938,5.5
104,07-03-2024,Friday,March,SSSS,Lunch,280,238,272,111,97,184,20424,7.1
105,07-03-2024,Friday,March,SSSS,Dinner,280,210,207,85,75,156,13260,7
106,08-03-2024,Saturday,March,SIDTM,Breakfast,450,189,183,81,69,126,10206,6.7
107,08-03-2024,Saturday,March,SIDTM,Lunch,450,230,262,110,87,184,20240,6
108,08-03-2024,Saturday,March,SIDTM,Dinner,450,203,201,92,70,154,14168,5.9
109,08-03-2024,Saturday,March,SSBF,Breakfast,380,160,177,74,61,111,8214,6.8
110,08-03-2024,Saturday,March,SSBF,Lunch,380,194,156,91,57,189,17199,4.5
111,08-03-2024,Saturday,March,SSBF,Dinner,380,171,196,73,68,159,11607,8.3
112,08-03-2024,Saturday,March,SIBM,Breakfast,520,218,238,104,81,123,12792,6.1
113,08-03-2024,Saturday,March,SIBM,Lunch,520,265,238,120,91,170,20400,6.6
114,08-03-2024,Saturday,March,SIBM,Dinner,520,234,200,109,78,164,17876,5.6
115,08-03-2024,Saturday,March,SIMC,Breakfast,320,134,149,65,55,117,7605,6.5
116,08-03-2024,Saturday,March,SIMC,Lunch,320,163,169,78,57,187,14586,6.1
117,08-03-2024,Saturday,March,SIMC,Dinner,320,144,134,70,41,169,11830,3.9
118,08-03-2024,Saturday,March,SSSS,Breakfast,280,118,138,52,52,115,5980,8.1
119,08-03-2024,Saturday,March,SSSS,Lunch,280,143,142,61,54,174,10614,7.4
120,08-03-2024,Saturday,March,SSSS,Dinner,280,126,105,61,40,163,9943,4.8
121,10-03-2024,Monday,March,SIDTM,Breakfast,450,315,254,131,82,127,16637,4.6
122,10-03-2024,Monday,March,SIDTM,Lunch,450,383,342,170,131,174,29580,5.8
123,10-03-2024,Monday,March,SIDTM,Dinner,450,338,316,150,102,152,22800,5.7
124,10-03-2024,Monday,March,SSBF,Breakfast,380,266,281,110,93,116,12760,7.4
125,10-03-2024,Monday,March,SSBF,Lunch,380,323,379,137,121,186,25482,7.7
126,10-03-2024,Monday,March,SSBF,Dinner,380,285,250,126,87,154,19404,4.9
127,10-03-2024,Monday,March,SIBM,Breakfast,520,364,418,152,151,126,19152,7.9
128,10-03-2024,Monday,March,SIBM,Lunch,520,442,439,181,139,171,30951,6.2
129,10-03-2024,Monday,March,SIBM,Dinner,520,390,317,172,114,154,26488,4.8
130,10-03-2024,Monday,March,SIMC,Breakfast,320,224,261,103,80,128,13184,6
131,10-03-2024,Monday,March,SIMC,Lunch,320,272,246,127,77,171,21717,4.2
132,10-03-2024,Monday,March,SIMC,Dinner,320,240,217,109,85,167,18203,5.8
133,10-03-2024,Monday,March,SSSS,Breakfast,280,196,228,87,71,113,9831,6.8
134,10-03-2024,Monday,March,SSSS,Lunch,280,238,215,100,80,188,18800,6.2
135,10-03-2024,Monday,March,SSSS,Dinner,280,210,186,102,64,153,15606,5.1
136,11-03-2024,Tuesday,March,SIDTM,Breakfast,450,315,331,147,109,127,18669,6
137,11-03-2024,Tuesday,March,SIDTM,Lunch,450,383,356,163,108,185,30155,5.4
138,11-03-2024,Tuesday,March,SIDTM,Dinner,450,338,275,161,96,155,24955,4.1
139,11-03-2024,Tuesday,March,SSBF,Breakfast,380,266,272,123,84,119,14637,5.4
140,11-03-2024,Tuesday,March,SSBF,Lunch,380,323,284,156,94,190,29640,4.6
141,11-03-2024,Tuesday,March,SSBF,Dinner,380,285,326,135,111,154,20790,6.5
142,11-03-2024,Tuesday,March,SIBM,Breakfast,520,364,352,171,107,126,21546,4.4
143,11-03-2024,Tuesday,March,SIBM,Lunch,520,442,388,179,127,177,31683,5.8
144,11-03-2024,Tuesday,March,SIBM,Dinner,520,390,411,159,159,155,24645,8
145,11-03-2024,Tuesday,March,SIMC,Breakfast,320,224,211,98,70,124,12152,6
146,11-03-2024,Tuesday,March,SIMC,Lunch,320,272,272,127,86,178,22606,5.7
147,11-03-2024,Tuesday,March,SIMC,Dinner,320,240,273,110,105,154,16940,8.4
148,11-03-2024,Tuesday,March,SSSS,Breakfast,280,196,213,90,72,125,11250,6.4
149,11-03-2024,Tuesday,March,SSSS,Lunch,280,238,248,98,94,177,17346,8.2
150,11-03-2024,Tuesday,March,SSSS,Dinner,280,210,250,89,89,152,13528,8.8
151,12-03-2024,Wednesday,March,SIDTM,Breakfast,450,315,368,132,132,112,14784,8.8
152,12-03-2024,Wednesday,March,SIDTM,Lunch,450,383,350,170,135,180,30600,6.8
153,12-03-2024,Wednesday,March,SIDTM,Dinner,450,338,288,139,111,164,22796,6.3
154,12-03-2024,Wednesday,March,SSBF,Breakfast,380,266,239,115,78,122,14030,4.9
155,12-03-2024,Wednesday,March,SSBF,Lunch,380,323,373,137,137,182,24934,9
156,12-03-2024,Wednesday,March,SSBF,Dinner,380,285,276,125,96,158,19750,5.9
157,12-03-2024,Wednesday,March,SIBM,Breakfast,520,364,404,162,142,124,20088,6.9
158,12-03-2024,Wednesday,March,SIBM,Lunch,520,442,492,194,194,178,34532,8.4
159,12-03-2024,Wednesday,March,SIBM,Dinner,520,390,436,181,163,167,30227,7.7
160,12-03-2024,Wednesday,March,SIMC,Breakfast,320,224,189,98,73,121,11858,6.1
161,12-03-2024,Wednesday,March,SIMC,Lunch,320,272,270,115,86,179,20585,5.7
162,12-03-2024,Wednesday,March,SIMC,Dinner,320,240,267,112,87,167,18704,6
163,12-03-2024,Wednesday,March,SSSS,Breakfast,280,196,157,95,48,126,11970,3.8
164,12-03-2024,Wednesday,March,SSSS,Lunch,280,238,214,111,76,172,19092,5
165,12-03-2024,Wednesday,March,SSSS,Dinner,280,210,221,87,70,156,13572,6.9
166,13-03-2024,Thursday,March,SIDTM,Breakfast,450,315,331,150,115,113,16950,6.6
167,13-03-2024,Thursday,March,SIDTM,Lunch,450,383,334,173,129,178,30794,6.3
168,13-03-2024,Thursday,March,SIDTM,Dinner,450,338,294,163,90,155,25265,4.5
169,13-03-2024,Thursday,March,SSBF,Breakfast,380,266,246,122,82,111,13542,4.9
170,13-03-2024,Thursday,March,SSBF,Lunch,380,323,283,152,88,181,27512,4.6
171,13-03-2024,Thursday,March,SSBF,Dinner,380,285,321,136,101,162,22032,6.1
172,13-03-2024,Thursday,March,SIBM,Breakfast,520,364,379,150,127,113,16950,7.2
173,13-03-2024,Thursday,March,SIBM,Lunch,520,442,418,178,144,189,33642,6.3
174,13-03-2024,Thursday,March,SIBM,Dinner,520,390,412,159,154,155,24645,7.8
175,13-03-2024,Thursday,March,SIMC,Breakfast,320,224,203,92,68,122,11224,6.1
176,13-03-2024,Thursday,March,SIMC,Lunch,320,272,257,130,78,176,22880,4.2
177,13-03-2024,Thursday,March,SIMC,Dinner,320,240,250,110,90,160,17600,6.5
178,13-03-2024,Thursday,March,SSSS,Breakfast,280,196,221,81,81,120,9720,8.7
179,13-03-2024,Thursday,March,SSSS,Lunch,280,238,258,108,102,189,20412,8.4
180,13-03-2024,Thursday,March,SSSS,Dinner,280,210,181,87,71,167,14529,7
181,14-03-2024,Friday,March,SIDTM,Breakfast,450,315,282,150,97,114,17100,5.4
182,14-03-2024,Friday,March,SIDTM,Lunch,450,383,410,186,129,185,34410,5.8
183,14-03-2024,Friday,March,SIDTM,Dinner,450,338,368,151,133,156,23556,7.4
184,14-03-2024,Friday,March,SSBF,Breakfast,380,266,249,117,76,113,13221,5.2
185,14-03-2024,Friday,March,SSBF,Lunch,380,323,283,146,99,182,26572,5.3
186,14-03-2024,Friday,March,SSBF,Dinner,380,285,273,137,108,166,22742,6.4
187,14-03-2024,Friday,March,SIBM,Breakfast,520,364,375,173,126,113,19549,5.8
188,14-03-2024,Friday,March,SIBM,Lunch,520,442,417,188,144,173,32524,6
189,14-03-2024,Friday,March,SIBM,Dinner,520,390,429,158,147,153,24174,7.9
190,14-03-2024,Friday,March,SIMC,Breakfast,320,224,238,98,88,115,11270,7.9
191,14-03-2024,Friday,March,SIMC,Lunch,320,272,284,128,105,190,24320,6.5
192,14-03-2024,Friday,March,SIMC,Dinner,320,240,211,105,65,168,17640,5.2
193,14-03-2024,Friday,March,SSSS,Breakfast,280,196,222,91,67,122,11102,6.3
194,14-03-2024,Friday,March,SSSS,Lunch,280,238,277,106,89,185,19610,7
195,14-03-2024,Friday,March,SSSS,Dinner,280,210,189,87,66,158,13746,5.7
196,15-03-2024,Saturday,March,SIDTM,Breakfast,450,189,195,90,59,121,10890,5.1
197,15-03-2024,Saturday,March,SIDTM,Lunch,450,230,264,100,100,171,17100,8.8
198,15-03-2024,Saturday,March,SIDTM,Dinner,450,203,177,85,64,166,14110,6.1
199,15-03-2024,Saturday,March,SSBF,Breakfast,380,160,142,70,43,128,8960,4.9
200,15-03-2024,Saturday,March,SSBF,Lunch,380,194,224,83,83,181,15023,8.2
201,15-03-2024,Saturday,March,SSBF,Dinner,380,171,146,71,45,157,11147,5
202,15-03-2024,Saturday,March,SIBM,Breakfast,520,218,198,101,65,127,12827,4.8
203,15-03-2024,Saturday,March,SIBM,Lunch,520,265,246,117,83,189,22113,6
204,15-03-2024,Saturday,March,SIBM,Dinner,520,234,255,101,77,165,16665,6.4
205,15-03-2024,Saturday,March,SIMC,Breakfast,320,134,130,63,52,122,7686,6.5
206,15-03-2024,Saturday,March,SIMC,Lunch,320,163,135,71,50,180,12780,5.5
207,15-03-2024,Saturday,March,SIMC,Dinner,320,144,116,61,46,151,9211,5.6
208,15-03-2024,Saturday,March,SSSS,Breakfast,280,118,124,49,40,113,5537,6.8
209,15-03-2024,Saturday,March,SSSS,Lunch,280,143,161,68,60,178,12104,7.5
210,15-03-2024,Saturday,March,SSSS,Dinner,280,126,103,56,34,159,8904,4.4
211,17-03-2024,Monday,March,SIDTM,Breakfast,450,315,373,136,128,127,17272,7.4
212,17-03-2024,Monday,March,SIDTM,Lunch,450,383,439,177,154,177,31329,6.8
213,17-03-2024,Monday,March,SIDTM,Dinner,450,338,342,151,137,161,24311,7.4
214,17-03-2024,Monday,March,SSBF,Breakfast,380,266,282,127,101,116,14732,6.7
215,17-03-2024,Monday,March,SSBF,Lunch,380,323,341,135,134,177,23895,8
216,17-03-2024,Monday,March,SSBF,Dinner,380,285,260,123,80,156,19188,5.2
217,17-03-2024,Monday,March,SIBM,Breakfast,520,364,413,177,160,112,19824,7.1
218,17-03-2024,Monday,March,SIBM,Lunch,520,442,460,205,173,175,35875,6.8
219,17-03-2024,Monday,March,SIBM,Dinner,520,390,319,168,106,156,26208,4.9
220,17-03-2024,Monday,March,SIMC,Breakfast,320,224,217,91,70,116,10556,6.3
221,17-03-2024,Monday,March,SIMC,Lunch,320,272,218,132,86,178,23496,4.9
222,17-03-2024,Monday,March,SIMC,Dinner,320,240,279,104,104,163,16952,8.8
223,17-03-2024,Monday,March,SSSS,Breakfast,280,196,169,86,54,124,10664,5.2
224,17-03-2024,Monday,March,SSSS,Lunch,280,238,221,107,82,187,20009,5.8
225,17-03-2024,Monday,March,SSSS,Dinner,280,210,210,97,79,162,15714,6.5
226,18-03-2024,Tuesday,March,SIDTM,Breakfast,450,315,316,143,97,115,16445,5.5
227,18-03-2024,Tuesday,March,SIDTM,Lunch,450,383,321,165,115,171,28215,5
228,18-03-2024,Tuesday,March,SIDTM,Dinner,450,338,308,137,123,157,21509,7.5
229,18-03-2024,Tuesday,March,SSBF,Breakfast,380,266,260,112,102,120,13440,7.9
230,18-03-2024,Tuesday,March,SSBF,Lunch,380,323,351,137,128,173,23701,7.3
231,18-03-2024,Tuesday,March,SSBF,Dinner,380,285,245,135,75,160,21600,4.3
232,18-03-2024,Tuesday,March,SIBM,Breakfast,520,364,320,171,98,126,21546,4.4
233,18-03-2024,Tuesday,March,SIBM,Lunch,520,442,487,195,168,174,33930,6.9
234,18-03-2024,Tuesday,March,SIBM,Dinner,520,390,407,176,158,154,27104,7.2
235,18-03-2024,Tuesday,March,SIMC,Breakfast,320,224,215,92,74,129,11868,6.8
236,18-03-2024,Tuesday,March,SIMC,Lunch,320,272,255,133,84,175,23275,5
237,18-03-2024,Tuesday,March,SIMC,Dinner,320,240,212,115,77,167,19205,5
238,18-03-2024,Tuesday,March,SSSS,Breakfast,280,196,178,82,57,128,10496,5.8
239,18-03-2024,Tuesday,March,SSSS,Lunch,280,238,223,100,89,171,17100,7.1
240,18-03-2024,Tuesday,March,SSSS,Dinner,280,210,231,98,90,163,15974,7.3
241,19-03-2024,Wednesday,March,SIDTM,Breakfast,450,315,263,136,84,126,17136,4.5
242,19-03-2024,Wednesday,March,SIDTM,Lunch,450,383,314,167,110,188,31396,5.6
243,19-03-2024,Wednesday,March,SIDTM,Dinner,450,338,355,162,131,164,26568,6.8
244,19-03-2024,Wednesday,March,SSBF,Breakfast,380,266,243,118,80,116,13688,5.5
245,19-03-2024,Wednesday,March,SSBF,Lunch,380,323,295,134,102,184,24656,6.3
246,19-03-2024,Wednesday,March,SSBF,Dinner,380,285,250,125,86,154,19250,5
247,19-03-2024,Wednesday,March,SIBM,Breakfast,520,364,409,149,149,115,17135,8.3
248,19-03-2024,Wednesday,March,SIBM,Lunch,520,442,370,185,119,178,32930,4.9
249,19-03-2024,Wednesday,March,SIBM,Dinner,520,390,400,183,140,165,30195,5.7
250,19-03-2024,Wednesday,March,SIMC,Breakfast,320,224,182,100,55,114,11400,4.4
251,19-03-2024,Wednesday,March,SIMC,Lunch,320,272,299,110,110,178,19580,8
252,19-03-2024,Wednesday,March,SIMC,Dinner,320,240,260,103,100,164,16892,8
253,19-03-2024,Wednesday,March,SSSS,Breakfast,280,196,222,82,75,112,9184,7.4
254,19-03-2024,Wednesday,March,SSSS,Lunch,280,238,240,104,85,186,19344,6.6
255,19-03-2024,Wednesday,March,SSSS,Dinner,280,210,170,101,58,152,15352,4.5
256,20-03-2024,Thursday,March,SIDTM,Breakfast,450,315,332,127,101,114,14478,6.2
257,20-03-2024,Thursday,March,SIDTM,Lunch,450,383,361,158,143,188,29704,7.9
258,20-03-2024,Thursday,March,SIDTM,Dinner,450,338,284,137,96,156,21372,5.2
259,20-03-2024,Thursday,March,SSBF,Breakfast,380,266,290,129,89,117,15093,5.1
260,20-03-2024,Thursday,March,SSBF,Lunch,380,323,290,155,108,171,26505,5.8
261,20-03-2024,Thursday,March,SSBF,Dinner,380,285,273,130,98,167,21710,5.7
262,20-03-2024,Thursday,March,SIBM,Breakfast,520,364,412,159,126,116,18444,6.4
263,20-03-2024,Thursday,March,SIBM,Lunch,520,442,362,191,122,180,34380,5
264,20-03-2024,Thursday,March,SIBM,Dinner,520,390,414,162,159,162,26244,8.1
265,20-03-2024,Thursday,March,SIMC,Breakfast,320,224,207,103,68,123,12669,4.7
266,20-03-2024,Thursday,March,SIMC,Lunch,320,272,308,127,121,185,23495,7.8
267,20-03-2024,Thursday,March,SIMC,Dinner,320,240,265,102,89,162,16524,7.4
268,20-03-2024,Thursday,March,SSSS,Breakfast,280,196,200,96,75,123,11808,5.9
269,20-03-2024,Thursday,March,SSSS,Lunch,280,238,228,96,77,187,17952,6.7
270,20-03-2024,Thursday,March,SSSS,Dinner,280,210,210,92,75,165,15180,6.2
271,21-03-2024,Friday,March,SIDTM,Breakfast,450,315,255,142,102,128,18176,5.3
272,21-03-2024,Friday,March,SIDTM,Lunch,450,383,365,183,116,171,31293,5.2
273,21-03-2024,Friday,March,SIDTM,Dinner,450,338,392,157,130,166,26062,6.4
274,21-03-2024,Friday,March,SSBF,Breakfast,380,266,237,128,81,115,14720,4.6
275,21-03-2024,Friday,March,SSBF,Lunch,380,323,328,138,104,185,25530,6.4
276,21-03-2024,Friday,March,SSBF,Dinner,380,285,309,127,117,170,21590,7.6
277,21-03-2024,Friday,March,SIBM,Breakfast,520,364,384,152,117,112,17024,6.1
278,21-03-2024,Friday,March,SIBM,Lunch,520,442,443,183,151,174,31842,6.4
279,21-03-2024,Friday,March,SIBM,Dinner,520,390,408,160,141,156,24960,7.2
280,21-03-2024,Friday,March,SIMC,Breakfast,320,224,249,94,94,116,10904,8.8
281,21-03-2024,Friday,March,SIMC,Lunch,320,272,296,118,110,173,20414,7.5
282,21-03-2024,Friday,March,SIMC,Dinner,320,240,224,110,69,161,17710,4.7
283,21-03-2024,Friday,March,SSSS,Breakfast,280,196,160,85,52,127,10795,4.7
284,21-03-2024,Friday,March,SSSS,Lunch,280,238,283,105,105,183,19215,8.8
285,21-03-2024,Friday,March,SSSS,Dinner,280,210,178,94,68,153,14382,5.4
286,22-03-2024,Saturday,March,SIDTM,Breakfast,450,189,160,83,57,125,10375,5
287,22-03-2024,Saturday,March,SIDTM,Lunch,450,230,251,108,81,178,19224,6
288,22-03-2024,Saturday,March,SIDTM,Dinner,450,203,191,93,73,152,14136,6.3
289,22-03-2024,Saturday,March,SSBF,Breakfast,380,160,133,73,52,125,9125,5.5
290,22-03-2024,Saturday,March,SSBF,Lunch,380,194,210,87,79,173,15051,8
291,22-03-2024,Saturday,March,SSBF,Dinner,380,171,204,72,72,161,11592,8.7
292,22-03-2024,Saturday,March,SIBM,Breakfast,520,218,255,98,83,125,12250,7.2
293,22-03-2024,Saturday,March,SIBM,Lunch,520,265,263,113,87,186,21018,6.4
294,22-03-2024,Saturday,March,SIBM,Dinner,520,234,275,101,101,165,16665,8.6
295,22-03-2024,Saturday,March,SIMC,Breakfast,320,134,138,60,54,112,6720,7.5
296,22-03-2024,Saturday,March,SIMC,Lunch,320,163,189,69,59,180,12420,6.7
297,22-03-2024,Saturday,March,SIMC,Dinner,320,144,146,67,48,161,10787,5.3
298,22-03-2024,Saturday,March,SSSS,Breakfast,280,118,115,48,38,122,5856,6.9
299,22-03-2024,Saturday,March,SSSS,Lunch,280,143,129,69,42,180,12420,4.4
300,22-03-2024,Saturday,March,SSSS,Dinner,280,126,120,59,44,152,8968,5.9
301,24-03-2024,Monday,March,SIDTM,Breakfast,450,315,308,141,109,126,17766,6.3
302,24-03-2024,Monday,March,SIDTM,Lunch,450,383,329,167,110,182,30394,5
303,24-03-2024,Monday,March,SIDTM,Dinner,450,338,353,153,140,160,24480,7.4
304,24-03-2024,Monday,March,SSBF,Breakfast,380,266,300,109,105,111,12099,8.3
305,24-03-2024,Monday,March,SSBF,Lunch,380,323,298,136,100,190,25840,5.4
